uuid,name,brand,street,house_number,post_code,city,latitude,longitude
19b5315e-c662-4da7-b1b1-9e65ac21490b,Aral Tankstelle,ARAL,Obernburger Straße,127-135,63811,Stockstadt,49.9651947,9.075168
19b57faa-e799-405b-98f3-7d642c148ad3,Shell Oehringen Siemensstr. 15,Shell,Siemensstr.,15,74613,Oehringen,49.207055,9.48054
19bd0f66-6859-479a-9693-979f04a1042d,Aral Tankstelle,ARAL,Zollstockgürtel,39,50969,Köln,50.9057846,6.937863
19bd26d3-a0b5-4efc-80c3-bfb117ef0854,Esso Tankstelle,ESSO,GROSSE HORSTSTR. 51-55, ,29328,FASSBERG,52.898483,10.166918
475bd1df-6310-46d4-beeb-5ed8a4298074,Aral Tankstelle,ARAL,Isenstedter Straße,139,32339,Espelkamp,52.37393,8.634729
475573cf-6f2a-4504-9344-0dfefb592a39,Aral Tankstelle,ARAL,Märkische Straße,29,42281,Wuppertal,51.2847633,7.208179
474e9f37-17d9-4497-bbf2-dabc064cd69e,Aral Tankstelle,ARAL,Riedlinger Straße,67,88422,Bad Buchau,48.0598946,9.594575
474e5046-deaf-4f9b-9a32-9797b778f047,TotalEnergies Berlin,TotalEnergies,Margarete-Sommer-Str. ,2,10407,Berlin,52.530831,13.440946
19c2a927-ba55-4480-9606-9388bc51ace8,Shell Neuss Bergheimer Str. 415,Shell,Bergheimer Str.,415,41466,Neuss,51.173392,6.686733
472b3364-5213-4dcf-b3ca-e73d077e65f1,Shell Willich Siemensring 2-6,Shell,Siemensring,2-6,47877,Willich,51.268609,6.518752
4722644f-699b-4fbb-b388-6847b2cc659f,AVIA Tankstelle,AVIA,Selingstädter Straße,1,91180,Heideck,49.1324,11.13114
47193e30-7bb6-4e0a-95e8-0301b7f28f16,Esso Tankstelle,ESSO,BABSTADTER STR. 66, ,74906,BAD RAPPENAU,49.239606,9.096218
20246dc0-a2db-44ac-9488-2cfa2926d587,Esso Tankstelle,ESSO,STROMBERGER STR. 5, ,59329,WADERSLOH,51.741979,8.243846
46f15dfc-2b20-496b-a8c4-ee5940f262b4,Aral Tankstelle,ARAL,Lafferder Straße,7,38268,Lengede,52.20636,10.303791
024dbaf7-9db5-42b9-884d-249e40d7ae02,Shell Nuernberg Sigmundstr. 104,Shell,Sigmundstr.,104,90431,Nuernberg,49.45279,11.014865
1a01191e-e79b-4d9a-b887-b4da4be62625,Aral Tankstelle,ARAL,Doberaner Straße/Gewerbegebiet,,18225,Kühlungsborn,54.1443939,11.7688007
46c0476e-9ead-4c1f-a2ce-6c0c9be65de7,Aral Tankstelle,ARAL,Wüllener Straße,85,48683,Ahaus,52.0729,6.995821
1a020abb-e61f-4c0d-9e40-04ec85ce8c02,Shell Wuppertal Hahnenberger Str. 56,Shell,Hahnenberger Str.,56,42349,Wuppertal,51.226079,7.150727
46bcbfea-d580-437d-ad82-1502e407739b,Aral Tankstelle,ARAL,Raiffeisenstraße,17,56594,Willroth,50.5659676,7.526535
46bba2f8-b3a4-4f5c-af4e-15d4226641cf,Aral Tankstelle,ARAL,Koenigschaffhauser Straße,,79346,Endingen,48.1435051,7.695344
46b03a71-6897-4bb5-9eac-9a5b7ab10ce0,TotalEnergies Schesslitz,TotalEnergies,Am Steinernen Kreuz ,1-3,96110,Schesslitz,49.980113,11.043543
51e58aff-9b1b-4658-b851-a1a9d12a6c09,AVIA Tankstelle,AVIA,Sternenberg Süd A46,A46,42287,Wuppertal,51.29591,7.214505
1a073b3a-3d2f-428d-9250-bbf3805c15e3,Aral Tankstelle,ARAL,Günzburger Straße,55,89335,Ichenhausen,48.374,10.3113012
469049b9-0d51-456a-95fe-0eef187badda,Aral Tankstelle,ARAL,Bundesstraße,1,24376,Kappeln,54.65925,9.925332
8385c785-77e7-4d73-9259-6709d0b72ff6,"BELM, WEBERSTR.",Shell,WEBERSTR. 4,,49191,BELM,52.300947,8.112743
9209bab7-f487-4776-9f47-5ddbf7aebc97,Aral Tankstelle,ARAL,Grenzallee,6,12057,Berlin,52.4690437,13.461875
1a1ec4ba-cc2a-4663-8330-81efc48b9256,Aral Tankstelle,ARAL,Alfelder Straße,99,31139,Hildesheim,52.1472321,9.938522
4669b0d7-62c6-4284-b9d7-d5d5053ab10d,Aral Tankstelle,ARAL,Godesberger Allee,131,53175,Bonn,50.70141,7.136586
22511823-002e-4a86-b4f2-4a58c6b95166,TotalEnergies Pfreimd,TotalEnergies,Wernberger Str. ,34,92536,Pfreimd,49.499364,12.184555
9fca682b-bf79-474a-8f2c-ea06fc85fa72,Esso Tankstelle,ESSO,BERLINER STR. 1 E, ,14776,BRANDENBURG,52.401499,12.589945
465ed050-4bbd-4a7a-af8e-7845feea15c3,TotalEnergies Delmenhorst,TotalEnergies,Sykerstr. ,74,27751,Delmenhorst,53.050333,8.654466
4651e216-d7bc-4b40-990b-e7ad7f447bdb,Aral Tankstelle,ARAL,Löderburger Straße,,39418,Staßfurt,51.8674049,11.5568047
46518fb2-bc2e-4a1e-b1cf-ff7fa46b7002,Shell Sulzbach-Rosenberg Rosenbachstr. 16-18,Shell,Rosenbachstr.,16-18,92237,Sulzbach-Rosenberg,49.490709,11.774336
1a248588-f486-448d-9133-838720f8c043,Shell Dinslaken Wilhelm-Lantermann-Str. 106,Shell,Wilhelm-Lantermann-Str.,106,46535,Dinslaken,51.569359,6.731677
1a29037b-efaf-4587-95f9-28b54c0df73d,Aral Tankstelle,ARAL,Hölkeskampring,109,44625,Herne,51.5333138,7.234871
4640967f-dfc1-4644-b830-dae845a7e166,Aral Tankstelle,ARAL,Marienburger Straße,3,41063,Mönchengladbach,51.2031021,6.418979
92451112-3702-4a4a-af24-c2b18dca6e85,Shell Dresden Washingtonstr. 40,Shell,Washingtonstr.,40,01139,Dresden,51.067454,13.688294
924bfc68-dd60-48df-b5a0-4499972e65d2,TotalEnergies Arnstadt,TotalEnergies,Friedrichstr. ,1,99310,Arnstadt,50.839854,10.955949
533abf42-a618-4d18-802e-fabdf0429269,Shell Michendorf An der Autobahn 1 A,Shell,An der Autobahn,1 A,14552,Michendorf,52.302112,13.025497
462bfd6e-ae5f-4da8-acfa-6e88cf503d1b,Esso Tankstelle,ESSO,UEBERSEERING 1, ,22297,HAMBURG,53.60126,10.024281
461b20cf-1ed1-4b12-bc53-707b50ad1be5,Shell Gernsbach Hoerdener Str. 2,Shell,Hoerdener Str.,2,76593,Gernsbach,48.769084,8.336152
45ef08b0-699b-454d-bab9-0dd0d5ec3998,Aral Tankstelle,ARAL,Bamberger Straße,27,96328,Küps,50.1916161,11.2681189
45eb2dd4-c301-4688-8183-981c7219cf5b,Shell Taura Mittweidaer Str. 55,Shell,Mittweidaer Str.,55,09249,Taura,50.918025,12.832175
c2ac1dc5-e5a3-4300-981a-d97a534f632d,Aral Tankstelle,ARAL,Mülheimer Straße,243-247,51469,Bergisch Gladbach,50.9870453,7.121225
45e4fd05-38c8-468d-8fcc-95313f988ec3,Esso Tankstelle,ESSO,BUTZBACHER STR. 26, ,35516,MUENZENBERG,50.455841,8.728739
45e0aefb-267c-405b-9155-97ea17e53162,Shell Hösbach Industriestr. 1,Shell,Industriestr.,1,63768,Hösbach,50.006036,9.2212
45d6754f-9453-4ead-bdd9-919f9e124d87,Aral Tankstelle,ARAL,Bremer Landstraße,4,27412,Tarmstedt,53.2232323,9.076715
45d03bfa-7537-4b68-9cb6-96e7f1e937f6,Aral Tankstelle,ARAL,Aktienstraße,226,45473,Mülheim,51.44446,6.905406
45cb54e9-2e12-41a5-95d8-43672900f65a,Esso Tankstelle,ESSO,OTTERSWANGER STR. 1, ,88630,PFULLENDORF,47.9296,9.242984
45afd888-fd10-484c-8a10-c29738125845,TotalEnergies Rotenburg-Lispenhausen,TotalEnergies,Nuernberger Str. ,67,36199,Rotenburg-Lispenhausen,50.990655,9.775772
45ac4f18-5a1e-488e-abc2-1b12a922959d,Esso Tankstelle,ESSO,FABRICIUSSTR. 46, ,22177,HAMBURG,53.596865,10.06054
45a0aefa-2887-4df4-952c-4c1482447f1d,Esso Tankstelle,ESSO,KISSINGER STR. 61, ,97762,HAMMELBURG,50.115255,9.897523
459e0874-000b-4897-8f18-51e4c7e0d15e,Shell Rheinbach A61 Peppenhoven Ost,Shell,A61 Peppenhoven Ost,,53359,Rheinbach,50.643792,6.943759
1a4e6624-5f24-4136-8faf-b003f1aed04d,Esso Tankstelle,ESSO,DUERKHEIMER STR. 91, ,67071,LUDWIGSHAFEN AM RHEIN,49.491457,8.364139
45936520-e830-4578-a3cb-188053b90765,Shell Berlin Hermsdorfer Damm 141-143,Shell,Hermsdorfer Damm,141-143,13467,Berlin,52.616078,13.300634
5394dbbe-96f1-4ada-8791-e6efb897b242,Shell Thale Neinstedter Str. 12,Shell,Neinstedter Str.,12,06502,Thale,51.752312,11.061335
45870418-d16e-40e2-852c-8dd927e0de8c,Shell Delitzsch Schkeuditzer Str. 27,Shell,Schkeuditzer Str.,27,04509,Delitzsch,51.518973,12.31931
457e88c9-f2b2-44b9-85f6-d3c6e5c75294,Esso Tankstelle,ESSO,NAUENER STR., ,16816,NEURUPPIN,52.890962,12.798373
457d651b-3b6e-4b07-ba19-25ce7497464f,Aral Tankstelle,ARAL,Heerstraße,51,53474,Bad Neuenahr-Ahr.,50.5481834,7.13891
1a568945-5255-4058-a132-091a240e3a56,Esso Tankstelle,ESSO,HANAUER STR. 98, ,63741,ASCHAFFENBURG,49.980901,9.124031
4579fdb9-cce1-4889-8dfe-ff522e54d8fe,TotalEnergies Bottrop,TotalEnergies,Bottroper Str. ,18-20,46244,Bottrop,51.600596,6.914389
456fc5bc-8839-4603-9867-66e5c338e188,TotalEnergies Geisa,TotalEnergies,Borscher Str. ,21,36419,Geisa,50.722452,9.95847
557843c0-4e47-429e-997d-9e7b9b8e61bb,Shell Frankfurt Am Main Erich-Ollenhauer-Ring,Shell,Erich-Ollenhauer-Ring,,60439,Frankfurt Am Main,50.159158,8.634045
4546ee0f-918a-45d7-a9a6-7227f10684fa,Shell Schlitz Bahnhofstr. 41,Shell,Bahnhofstr.,41,36110,Schlitz,50.681974,9.566322
453c277e-6ca6-49b8-acbd-a82d6bd25bf1,Aral Tankstelle,ARAL,Leipziger Straße,95,04668,Grimma,51.23132,12.7039642
453b345b-e1a7-49a4-b785-89664328db7d,Aral Tankstelle,ARAL,Rosenheimer Straße,138,81669,München,48.1192055,11.6077719
453a124c-7172-44e5-bf5c-4780d6b95d4f,TotalEnergies Malchow,TotalEnergies,Rostocker Str. ,42,17213,Malchow,53.480994,12.421106
453929ee-69d2-47b5-a771-45343c15cb06,Shell Ziesar A2 Buckautal Nord,Shell,A2 Buckautal Nord,,14793,Ziesar,52.252791,12.310146
1a5f5773-cf00-44ac-ab78-3e83ea1a02bb,TotalEnergies Dreieich,TotalEnergies,Darmstaedter Str. ,92,63303,Dreieich,50.008819,8.689436
