brand_model,total_2015,of_which_diesel_2015,total_2016,of_which_diesel_2016,total_2017,of_which_diesel_2017,of_which_hybrid_2017,of_which_electric_2017,total_2018,of_which_diesel_2018,of_which_hybrid_2018,of_which_electric_2018,total_2019,of_which_diesel_2019,of_which_hybrid_2019,of_which_electric_2019,total_2020,of_which_diesel_2020,of_which_hybrid_2020,of_which_electric_2020,total_2021,of_which_diesel_2021,of_which_hybrid_2021,of_which_electric_2021,total_2022,of_which_diesel_2022,of_which_hybrid_2022,of_which_electric_2022,total_2023,of_which_diesel_2023,of_which_hybrid_2023,of_which_electric_2023
BMW 2ER,42916,20708,50680,23870,41144,15583,3680,0,41144,10536,4878,0,33037,8561,4981,10,24732,6942,2648,0,17746,4385,789,0,16329,4351,3318,0,20444,3184,4657,0
BMW 3ER,44637,38538,43986,36198,38343,29153,574,0,38343,22506,336,0,43327,28166,1656,0,47273,13783,21229,0,41704,923,31963,0,36231,315,28832,0,34422,0,23469,0
BMW 4ER,20325,12404,17971,10498,17305,7984,0,0,17305,4356,0,0,9424,2846,0,0,4823,991,707,0,8571,0,4049,197,16350,0,6462,3769,27584,0,8004,12869
BMW 5ER,33108,31634,30055,28415,42840,33325,1075,0,42840,28874,1888,0,35949,23726,5422,0,26540,6010,17355,0,23290,102,22183,0,23209,0,22376,0,22633,0,20952,1088
BMW 6ER,2164,1178,1538,715,1633,783,0,0,1633,2058,0,0,1509,1038,0,0,737,310,315,0,489,0,476,0,509,0,503,0,354,0,352,0
BMW 7ER,2595,1868,5536,4324,4594,3222,321,0,4594,2354,410,0,4151,2635,766,0,2860,1265,1145,0,2277,0,1901,0,2240,0,1699,325,3067,0,2174,888
8ER,0,0,0,0,0,0,0,0,0,239,0,0,2639,835,24,0,2414,432,56,0,1894,0,292,0,1630,0,282,0,1633,0,265,0
OTHER,145,59,404,99,413,50,2,0,413,117,0,0,892,291,3,0,760,272,47,0,930,232,167,0,997,285,177,0,1303,183,347,0
bmw_together,248565,174088,262083,171585,261864,150845,7749,2791,261864,128376,9510,3792,279243,135145,13942,9127,240968,74370,63184,8700,222481,22053,109103,16535,209722,15797,115855,23470,233160,11919,118934,40420
MERCEDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES A-KLASSE,32658,9648,34270,9001,29257,7095,0,0,29257,7484,26,0,44189,9281,105,0,43391,6985,11680,0,25070,3585,10729,0,22399,3148,9111,0,21026,3958,15282,0
MERCEDES AMG GT,1283,0,1300,0,1267,0,0,0,1267,0,9,0,3221,0,873,0,1893,0,645,0,1237,0,414,0,1319,0,708,0,1211,0,925,0
MERCEDES B-KLASSE,35112,14237,30787,10544,25857,8012,0,542,25857,6834,0,80,33709,9482,49,0,19795,5527,2075,0,10419,1852,3948,0,11061,1778,4393,0,9183,1799,7232,0
MERCEDES C-KLASSE,67549,42505,66898,33542,68584,27511,1531,0,68584,24425,6575,0,64403,29947,13328,0,41651,16459,15554,0,22640,5229,13836,0,33454,498,31611,0,44257,325,42396,0
MERCEDES CITAN,3327,3149,3573,3058,4434,3307,0,0,4434,3214,0,0,3608,2906,0,0,2920,2919,0,0,446,368,0,0,3989,3063,0,20,6616,3703,0,410
MERCEDES CLA-KLASSE,21092,6872,23088,7619,21274,6854,0,0,21274,4943,0,0,17525,3742,14,0,25109,6338,3863,0,18949,3309,7300,0,16114,3286,5339,0,18581,4401,7097,0
CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,1024,0
MERCEDES CLS,5122,3981,2996,2187,1694,1270,16,0,1694,2712,1553,0,3890,2212,1671,0,1747,951,780,0,862,394,466,0,1125,425,700,0,872,316,555,0
MERCEDES E-KLASSE,30860,25037,37945,30123,47845,34725,895,0,47845,29748,2535,0,43265,27640,10215,0,33265,15725,16802,0,22901,9565,12910,0,24599,4820,15962,3277,26561,3296,14866,7865
MERCEDES E-KLASSE COUPE,5289,2109,3541,1269,5599,1885,7,0,5599,2502,538,0,6418,2467,1639,0,4172,1565,2337,0,3251,921,2330,0,2106,538,1567,0,2349,581,1768,0
MERCEDES G-KLASSE,2220,1152,3467,1653,4157,1935,0,0,4157,1270,0,0,5362,632,0,0,3712,1650,0,0,3573,1099,0,0,4318,1270,20,0,6113,1720,19,0
"MERCEDES GL-KLASSE, GLS",1448,1162,2240,1656,1661,1009,0,0,1661,653,0,0,780,548,19,0,2030,1710,315,0,1793,816,977,0,1657,843,814,0,2015,734,1278,0
MERCEDES GLA,17100,7207,17308,6235,16972,5828,0,0,16972,3469,0,0,16953,1831,0,0,14322,2684,2107,83,17977,2154,3945,5781,19847,2123,3869,6883,26410,2837,5780,13839
GLB,0,0,0,0,0,0,0,0,0,0,0,0,138,66,0,0,9619,4839,0,0,8198,4205,0,166,14421,3935,0,6111,15979,4714,99,7365
"MERCEDES GLK, GLC",16503,15140,26255,21723,39397,25882,2162,0,39397,21418,1480,0,38369,22045,5848,548,41791,18110,17520,3155,33719,7747,20241,3825,26260,8057,12161,4328,35694,1264,31854,2080
"MERCEDES ML-KLASSE, GLE",11182,9619,15096,11222,12686,8937,320,0,12686,6679,183,0,10203,7698,1753,0,16022,9548,6434,0,14885,4624,10261,0,15057,3526,11531,0,10613,2359,8252,0
MERCEDES S-KLASSE,7312,3384,6812,3060,6759,3306,378,0,6759,2564,819,0,4450,1724,999,0,3823,1926,864,0,6125,2752,2642,554,7484,1623,2907,2717,7808,1425,3185,2962
MERCEDES SL,829,0,741,1,576,0,0,0,576,0,0,0,294,1,0,0,245,0,0,0,0,0,0,0,1409,0,425,0,2695,0,991,0
"MERCEDES SLK, SLC",3813,664,3753,546,3054,282,0,0,3054,25,0,0,2362,1,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES SPRINTER,3970,3963,4700,4692,4520,4514,0,0,4520,4611,0,0,5633,5625,0,0,7251,7246,0,0,7175,7170,0,0,6847,6837,0,0,8301,8293,0,0
MERCEDES UNIMOG,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES V-KLASSE,18094,18091,17807,17807,21040,21037,0,0,21040,19684,0,0,22595,22579,0,11,20560,19631,0,928,18438,16842,0,1568,22328,20925,0,1391,20340,18725,0,1602
MERCEDES VITO,2017,2015,8677,8675,9532,9532,0,0,9532,9600,0,3,11785,11648,0,137,8734,8406,0,328,7650,7258,0,381,8159,7703,0,452,9590,9008,0,577
OTHER,103,23,24,9,23,14,1,2,23,16,0,2,33,30,1,0,36,35,1,0,84,0,0,0,46,0,0,0,114,0,0,0
mercedes_together,286883,169958,311286,174630,326188,172935,5310,544,326188,151851,13718,85,339185,162105,36514,696,303185,132254,80977,4494,225392,79950,90008,12278,243999,74434,101128,25182,277352,69553,142618,36703
TOYOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOYOTA AURIS,14508,1786,17504,1492,13409,316,8231,0,13409,42,9901,0,3556,0,2391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOYOTA AVENSIS,5082,2821,5316,2507,3631,716,0,0,3631,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOYOTA AYGO,11827,0,11622,0,12390,0,0,0,12390,0,0,0,14438,0,0,0,12156,0,0,0,11225,0,0,0,10976,0,0,0,12092,0,0,0
BZ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,0,654,3150,0,0,3150
TOYOTA C-HR,0,0,1172,0,13053,0,9609,0,13053,0,11511,0,11941,0,10076,0,10562,0,10010,0,9220,0,9204,0,8646,0,8643,0,7628,0,7625,0
CAMRY,0,0,0,0,0,0,0,0,0,0,0,0,647,0,647,0,545,0,544,0,262,0,261,0,136,0,135,0,67,0,40,0
TOYOTA COROLLA,566,29,358,4,294,0,0,0,294,0,0,0,15171,0,13016,0,14844,0,12979,0,15013,0,13665,0,10711,0,10306,0,12945,0,12902,0
GR 86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,719,0,0,0
TOYOTA GT 86,347,0,299,0,266,0,0,0,266,0,0,0,273,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGHLANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,0,598,0,386,0,385,0,75,0,75,0
HILUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0
TOYOTA LANDCRUISER,1090,1089,819,815,672,661,0,0,672,1078,0,0,1092,1082,0,0,691,677,0,0,853,820,0,0,2421,2379,0,0,1158,1132,0,0
MIRAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,337,0,0,0,166,0,0,0
TOYOTA PRIUS,563,0,2236,0,1313,0,1313,0,1313,0,1347,0,743,0,743,0,556,0,556,0,280,0,280,0,200,0,200,0,330,0,330,0
